"source_table","source_field","source_value_raw","source_value_norm","student_id","match_type","match_confidence","evidence_fields"
"毕业去向.xlsx","SID","pjwrqxbj919","pjwrqxbj919","pjwrqxbj919","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj920","pjwrqxbj920","pjwrqxbj920","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj923","pjwrqxbj923","pjwrqxbj923","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj924","pjwrqxbj924","pjwrqxbj924","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj925","pjwrqxbj925","pjwrqxbj925","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj926","pjwrqxbj926","pjwrqxbj926","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj929","pjwrqxbj929","pjwrqxbj929","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj932","pjwrqxbj932","pjwrqxbj932","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj935","pjwrqxbj935","pjwrqxbj935","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj938","pjwrqxbj938","pjwrqxbj938","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj944","pjwrqxbj944","pjwrqxbj944","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj945","pjwrqxbj945","pjwrqxbj945","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj948","pjwrqxbj948","pjwrqxbj948","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj949","pjwrqxbj949","pjwrqxbj949","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj951","pjwrqxbj951","pjwrqxbj951","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj952","pjwrqxbj952","pjwrqxbj952","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj955","pjwrqxbj955","pjwrqxbj955","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj956","pjwrqxbj956","pjwrqxbj956","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj965","pjwrqxbj965","pjwrqxbj965","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj967","pjwrqxbj967","pjwrqxbj967","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj973","pjwrqxbj973","pjwrqxbj973","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj974","pjwrqxbj974","pjwrqxbj974","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj977","pjwrqxbj977","pjwrqxbj977","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj978","pjwrqxbj978","pjwrqxbj978","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj979","pjwrqxbj979","pjwrqxbj979","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj980","pjwrqxbj980","pjwrqxbj980","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj983","pjwrqxbj983","pjwrqxbj983","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj984","pjwrqxbj984","pjwrqxbj984","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj985","pjwrqxbj985","pjwrqxbj985","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj988","pjwrqxbj988","pjwrqxbj988","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj991","pjwrqxbj991","pjwrqxbj991","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj992","pjwrqxbj992","pjwrqxbj992","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj993","pjwrqxbj993","pjwrqxbj993","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj994","pjwrqxbj994","pjwrqxbj994","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrqxbj998","pjwrqxbj998","pjwrqxbj998","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwrzxbj996","pjwrzxbj996","pjwrzxbj996","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj913","pjwtqxbj913","pjwtqxbj913","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj914","pjwtqxbj914","pjwtqxbj914","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj918","pjwtqxbj918","pjwtqxbj918","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj920","pjwtqxbj920","pjwtqxbj920","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj921","pjwtqxbj921","pjwtqxbj921","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj922","pjwtqxbj922","pjwtqxbj922","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj925","pjwtqxbj925","pjwtqxbj925","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj928","pjwtqxbj928","pjwtqxbj928","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj929","pjwtqxbj929","pjwtqxbj929","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj930","pjwtqxbj930","pjwtqxbj930","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj931","pjwtqxbj931","pjwtqxbj931","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj932","pjwtqxbj932","pjwtqxbj932","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj933","pjwtqxbj933","pjwtqxbj933","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj935","pjwtqxbj935","pjwtqxbj935","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj939","pjwtqxbj939","pjwtqxbj939","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj941","pjwtqxbj941","pjwtqxbj941","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj942","pjwtqxbj942","pjwtqxbj942","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj943","pjwtqxbj943","pjwtqxbj943","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj944","pjwtqxbj944","pjwtqxbj944","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj946","pjwtqxbj946","pjwtqxbj946","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj947","pjwtqxbj947","pjwtqxbj947","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj950","pjwtqxbj950","pjwtqxbj950","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj952","pjwtqxbj952","pjwtqxbj952","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj953","pjwtqxbj953","pjwtqxbj953","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj954","pjwtqxbj954","pjwtqxbj954","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj957","pjwtqxbj957","pjwtqxbj957","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj959","pjwtqxbj959","pjwtqxbj959","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj960","pjwtqxbj960","pjwtqxbj960","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj965","pjwtqxbj965","pjwtqxbj965","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj967","pjwtqxbj967","pjwtqxbj967","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj968","pjwtqxbj968","pjwtqxbj968","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj969","pjwtqxbj969","pjwtqxbj969","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj971","pjwtqxbj971","pjwtqxbj971","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj972","pjwtqxbj972","pjwtqxbj972","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj974","pjwtqxbj974","pjwtqxbj974","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj976","pjwtqxbj976","pjwtqxbj976","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj977","pjwtqxbj977","pjwtqxbj977","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj979","pjwtqxbj979","pjwtqxbj979","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj982","pjwtqxbj982","pjwtqxbj982","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj983","pjwtqxbj983","pjwtqxbj983","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj984","pjwtqxbj984","pjwtqxbj984","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj985","pjwtqxbj985","pjwtqxbj985","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj987","pjwtqxbj987","pjwtqxbj987","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj988","pjwtqxbj988","pjwtqxbj988","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj993","pjwtqxbj993","pjwtqxbj993","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtqxbj998","pjwtqxbj998","pjwtqxbj998","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwtzxbj996","pjwtzxbj996","pjwtzxbj996","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwuzxbj992","pjwuzxbj992","pjwuzxbj992","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjwuzxbj995","pjwuzxbj995","pjwuzxbj995","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj911","pjxpqxbj911","pjxpqxbj911","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj912","pjxpqxbj912","pjxpqxbj912","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj914","pjxpqxbj914","pjxpqxbj914","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj915","pjxpqxbj915","pjxpqxbj915","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj916","pjxpqxbj916","pjxpqxbj916","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj918","pjxpqxbj918","pjxpqxbj918","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj919","pjxpqxbj919","pjxpqxbj919","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj920","pjxpqxbj920","pjxpqxbj920","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj924","pjxpqxbj924","pjxpqxbj924","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj925","pjxpqxbj925","pjxpqxbj925","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj926","pjxpqxbj926","pjxpqxbj926","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj927","pjxpqxbj927","pjxpqxbj927","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj930","pjxpqxbj930","pjxpqxbj930","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj932","pjxpqxbj932","pjxpqxbj932","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj933","pjxpqxbj933","pjxpqxbj933","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj934","pjxpqxbj934","pjxpqxbj934","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj937","pjxpqxbj937","pjxpqxbj937","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj941","pjxpqxbj941","pjxpqxbj941","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj944","pjxpqxbj944","pjxpqxbj944","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj945","pjxpqxbj945","pjxpqxbj945","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj946","pjxpqxbj946","pjxpqxbj946","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj954","pjxpqxbj954","pjxpqxbj954","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj955","pjxpqxbj955","pjxpqxbj955","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj956","pjxpqxbj956","pjxpqxbj956","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj957","pjxpqxbj957","pjxpqxbj957","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj961","pjxpqxbj961","pjxpqxbj961","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj962","pjxpqxbj962","pjxpqxbj962","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj963","pjxpqxbj963","pjxpqxbj963","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj967","pjxpqxbj967","pjxpqxbj967","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj969","pjxpqxbj969","pjxpqxbj969","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj971","pjxpqxbj971","pjxpqxbj971","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj972","pjxpqxbj972","pjxpqxbj972","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj973","pjxpqxbj973","pjxpqxbj973","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj975","pjxpqxbj975","pjxpqxbj975","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj976","pjxpqxbj976","pjxpqxbj976","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj977","pjxpqxbj977","pjxpqxbj977","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj978","pjxpqxbj978","pjxpqxbj978","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj979","pjxpqxbj979","pjxpqxbj979","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj981","pjxpqxbj981","pjxpqxbj981","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj985","pjxpqxbj985","pjxpqxbj985","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj986","pjxpqxbj986","pjxpqxbj986","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj987","pjxpqxbj987","pjxpqxbj987","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj992","pjxpqxbj992","pjxpqxbj992","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj994","pjxpqxbj994","pjxpqxbj994","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj997","pjxpqxbj997","pjxpqxbj997","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxpqxbj998","pjxpqxbj998","pjxpqxbj998","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj947","pjxqqxbj947","pjxqqxbj947","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj949","pjxqqxbj949","pjxqqxbj949","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj951","pjxqqxbj951","pjxqqxbj951","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj954","pjxqqxbj954","pjxqqxbj954","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj957","pjxqqxbj957","pjxqqxbj957","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj959","pjxqqxbj959","pjxqqxbj959","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj961","pjxqqxbj961","pjxqqxbj961","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj964","pjxqqxbj964","pjxqqxbj964","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj967","pjxqqxbj967","pjxqqxbj967","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj969","pjxqqxbj969","pjxqqxbj969","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj970","pjxqqxbj970","pjxqqxbj970","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj973","pjxqqxbj973","pjxqqxbj973","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj974","pjxqqxbj974","pjxqqxbj974","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj975","pjxqqxbj975","pjxqqxbj975","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj977","pjxqqxbj977","pjxqqxbj977","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj979","pjxqqxbj979","pjxqqxbj979","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj981","pjxqqxbj981","pjxqqxbj981","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj982","pjxqqxbj982","pjxqqxbj982","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj983","pjxqqxbj983","pjxqqxbj983","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj985","pjxqqxbj985","pjxqqxbj985","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj986","pjxqqxbj986","pjxqqxbj986","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj988","pjxqqxbj988","pjxqqxbj988","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj989","pjxqqxbj989","pjxqqxbj989","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj991","pjxqqxbj991","pjxqqxbj991","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj996","pjxqqxbj996","pjxqqxbj996","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj997","pjxqqxbj997","pjxqqxbj997","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqqxbj998","pjxqqxbj998","pjxqqxbj998","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj967","pjxqzxbj967","pjxqzxbj967","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj971","pjxqzxbj971","pjxqzxbj971","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj973","pjxqzxbj973","pjxqzxbj973","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj975","pjxqzxbj975","pjxqzxbj975","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj979","pjxqzxbj979","pjxqzxbj979","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj980","pjxqzxbj980","pjxqzxbj980","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj982","pjxqzxbj982","pjxqzxbj982","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj983","pjxqzxbj983","pjxqzxbj983","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj984","pjxqzxbj984","pjxqzxbj984","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj985","pjxqzxbj985","pjxqzxbj985","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj989","pjxqzxbj989","pjxqzxbj989","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj994","pjxqzxbj994","pjxqzxbj994","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj995","pjxqzxbj995","pjxqzxbj995","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj996","pjxqzxbj996","pjxqzxbj996","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxqzxbj997","pjxqzxbj997","pjxqzxbj997","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj891","pjxrqxbj891","pjxrqxbj891","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj892","pjxrqxbj892","pjxrqxbj892","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj894","pjxrqxbj894","pjxrqxbj894","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj898","pjxrqxbj898","pjxrqxbj898","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj901","pjxrqxbj901","pjxrqxbj901","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj903","pjxrqxbj903","pjxrqxbj903","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj905","pjxrqxbj905","pjxrqxbj905","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj908","pjxrqxbj908","pjxrqxbj908","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj909","pjxrqxbj909","pjxrqxbj909","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj911","pjxrqxbj911","pjxrqxbj911","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj914","pjxrqxbj914","pjxrqxbj914","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj916","pjxrqxbj916","pjxrqxbj916","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj918","pjxrqxbj918","pjxrqxbj918","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj919","pjxrqxbj919","pjxrqxbj919","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj928","pjxrqxbj928","pjxrqxbj928","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj930","pjxrqxbj930","pjxrqxbj930","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj937","pjxrqxbj937","pjxrqxbj937","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj939","pjxrqxbj939","pjxrqxbj939","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj942","pjxrqxbj942","pjxrqxbj942","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj943","pjxrqxbj943","pjxrqxbj943","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj944","pjxrqxbj944","pjxrqxbj944","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj945","pjxrqxbj945","pjxrqxbj945","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj947","pjxrqxbj947","pjxrqxbj947","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj951","pjxrqxbj951","pjxrqxbj951","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj952","pjxrqxbj952","pjxrqxbj952","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj954","pjxrqxbj954","pjxrqxbj954","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj955","pjxrqxbj955","pjxrqxbj955","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj957","pjxrqxbj957","pjxrqxbj957","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj958","pjxrqxbj958","pjxrqxbj958","exact","high","identity:SID -> student_id"
"毕业去向.xlsx","SID","pjxrqxbj961","pjxrqxbj961","pjxrqxbj961","exact","high","identity:SID -> student_id"
