"student_id","XB","NJ","XSM","ZYM","YX","ZY","BJ"
"pjwrqxbj916","男","2020级","网络与信息安全学院","网络空间安全","网络与信息安全学院","网络空间安全","2018039"
"pjwrqxbj918","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj919","男","2020级","先进材料与纳米科技学院","应用化学","先进材料与纳米科技学院","应用化学","2017021"
"pjwrqxbj920","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwrqxbj923","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjwrqxbj924","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj925","女","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwrqxbj926","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwrqxbj929","男","2020级","机电工程学院","电子封装技术","机电工程学院","电子封装技术","2004061"
"pjwrqxbj932","女","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwrqxbj935","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwrqxbj938","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwrqxbj944","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj945","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj948","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj949","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj951","女","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj952","男","2020级","先进材料与纳米科技学院","应用化学","先进材料与纳米科技学院","应用化学","2017021"
"pjwrqxbj955","女","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj956","女","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj965","女","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj967","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj973","男","2020级","电子工程学院","电子信息工程","电子工程学院","电子信息工程","2002018"
"pjwrqxbj974","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj977","男","2020级","机电工程学院","自动化","机电工程学院","自动化","2004032"
"pjwrqxbj978","女","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj979","男","2020级","机电工程学院","机器人工程","机电工程学院","机器人工程","2004071"
"pjwrqxbj980","男","2020级","先进材料与纳米科技学院","应用化学","先进材料与纳米科技学院","应用化学","2017021"
"pjwrqxbj983","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj984","男","2020级","先进材料与纳米科技学院","应用化学","先进材料与纳米科技学院","应用化学","2017021"
"pjwrqxbj985","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj988","男","2020级","网络与信息安全学院","网络空间安全","网络与信息安全学院","网络空间安全","2018039"
"pjwrqxbj991","男","2020级","微电子学院","微电子科学与工程","微电子学院","微电子科学与工程","2014013"
"pjwrqxbj992","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj993","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrqxbj994","男","2020级","先进材料与纳米科技学院","纳米材料与技术","先进材料与纳米科技学院","纳米材料与技术","2017031"
"pjwrqxbj998","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017011"
"pjwrzxbj996","男","2020级","先进材料与纳米科技学院","材料科学与工程","先进材料与纳米科技学院","材料科学与工程","2017012"
"pjwtqxbj913","女","2020级","生命科学技术学院","生物技术","生命科学技术学院","生物技术","2015021"
"pjwtqxbj914","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj918","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj920","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj921","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj922","女","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj925","男","2020级","网络与信息安全学院","网络空间安全","网络与信息安全学院","网络空间安全","2018039"
"pjwtqxbj928","男","2020级","生命科学技术学院","生物技术","生命科学技术学院","生物技术","2015021"
"pjwtqxbj929","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj930","男","2020级","生命科学技术学院","生物技术","生命科学技术学院","生物技术","2015021"
"pjwtqxbj931","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj932","男","2020级","生命科学技术学院","生物技术","生命科学技术学院","生物技术","2015021"
"pjwtqxbj933","男","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj935","男","2020级","光电工程学院","电子科学与技术","光电工程学院","电子科学与技术","2005012"
"pjwtqxbj939","男","2020级","生命科学技术学院","生物技术","生命科学技术学院","生物技术","2015021"
"pjwtqxbj941","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj942","男","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj943","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj944","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj946","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj947","男","2020级","计算机科学与技术学院","软件工程","计算机科学与技术学院","软件工程","2003058"
"pjwtqxbj950","男","2020级","生命科学技术学院","生物技术","生命科学技术学院","生物技术","2015021"
"pjwtqxbj952","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj953","女","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj954","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj957","女","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj959","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj960","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj965","男","2020级","空间科学与技术学院","空间科学与技术","空间科学与技术学院","空间科学与技术","2016029"
"pjwtqxbj967","男","2020级","网络与信息安全学院","网络空间安全","网络与信息安全学院","网络空间安全","2018039"
"pjwtqxbj968","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj969","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj971","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj972","女","2020级","光电工程学院","电子科学与技术","光电工程学院","电子科学与技术","2005012"
"pjwtqxbj974","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj976","男","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj977","男","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj979","男","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj982","男","2020级","空间科学与技术学院","空间科学与技术","空间科学与技术学院","空间科学与技术","2016029"
"pjwtqxbj983","女","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj984","男","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj985","女","2020级","生命科学技术学院","智能医学工程","生命科学技术学院","智能医学工程","2015031"
"pjwtqxbj987","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj988","男","2020级","光电工程学院","电子科学与技术","光电工程学院","电子科学与技术","2005011"
"pjwtqxbj993","女","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwtqxbj998","男","2020级","光电工程学院","电子科学与技术","光电工程学院","电子科学与技术","2005012"
"pjwtzxbj996","男","2020级","生命科学技术学院","生物医学工程","生命科学技术学院","生物医学工程","2015011"
"pjwuzxbj992","女","2020级","微电子学院","微电子科学与工程","微电子学院","微电子科学与工程","2014012"
"pjwuzxbj995","男","2020级","微电子学院","微电子科学与工程","微电子学院","微电子科学与工程","2014011"
"pjxpqxbj911","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj912","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj914","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj915","男","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj916","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj918","男","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj919","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj920","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj924","女","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj925","女","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj926","男","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj927","女","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj930","男","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj932","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj933","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj934","男","2021级","经济与管理学院","电子商务","经济与管理学院","管理科学与工程类","2106913"
"pjxpqxbj937","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj941","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj944","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj945","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj946","男","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj954","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj955","女","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj956","男","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj957","男","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj961","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj962","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj963","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj967","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj969","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj971","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj972","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj973","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj975","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj976","女","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj977","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj978","女","2021级","经济与管理学院","金融学","经济与管理学院","管理科学与工程类","2106913"
"pjxpqxbj979","男","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj981","男","2020级","经济与管理学院","工业工程","经济与管理学院","工业工程","2006031"
"pjxpqxbj985","男","2020级","外国语学院","日语","外国语学院","日语","2009021"
"pjxpqxbj986","女","2020级","外国语学院","翻译","外国语学院","翻译","2009031"
"pjxpqxbj987","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj992","男","2020级","微电子学院","集成电路设计与集成系统","微电子学院","集成电路设计与集成系统","2014028"
"pjxpqxbj994","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj997","男","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxpqxbj998","女","2020级","外国语学院","英语","外国语学院","英语","2009011"
"pjxqqxbj947","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj949","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj951","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj954","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj957","男","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj959","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj961","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj964","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj967","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj969","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj970","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj973","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj974","男","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj975","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj977","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj979","男","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj981","男","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj982","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj983","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj985","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj986","男","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj988","男","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj989","男","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj991","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqqxbj996","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj997","女","2020级","人文学院","哲学","人文学院","哲学","2008021"
"pjxqqxbj998","女","2020级","人文学院","汉语言文学","人文学院","汉语言文学","2008031"
"pjxqzxbj967","男","2020级","人文学院","录音艺术","人文学院","录音艺术","2008015"
"pjxqzxbj971","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008012"
"pjxqzxbj973","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008015"
"pjxqzxbj975","男","2020级","人文学院","录音艺术","人文学院","录音艺术","2008014"
"pjxqzxbj979","男","2020级","人文学院","录音艺术","人文学院","录音艺术","2008012"
"pjxqzxbj980","男","2020级","人文学院","录音艺术","人文学院","录音艺术","2008015"
"pjxqzxbj982","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008013"
"pjxqzxbj983","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008015"
"pjxqzxbj984","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008014"
"pjxqzxbj985","男","2020级","人文学院","录音艺术","人文学院","录音艺术","2008015"
"pjxqzxbj989","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008014"
"pjxqzxbj994","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008015"
"pjxqzxbj995","男","2020级","人文学院","录音艺术","人文学院","录音艺术","2008013"
"pjxqzxbj996","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008012"
"pjxqzxbj997","女","2020级","人文学院","录音艺术","人文学院","录音艺术","2008012"
"pjxrqxbj891","男","2020级","数学与统计学院","统计学","数学与统计学院","统计学","2007031"
"pjxrqxbj892","男","2020级","数学与统计学院","统计学","数学与统计学院","统计学","2007031"
"pjxrqxbj894","女","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj898","男","2020级","计算机科学与技术学院","计算机科学与技术","计算机科学与技术学院","计算机科学与技术","2003019"
"pjxrqxbj901","男","2020级","电子工程学院","电子信息工程","电子工程学院","电子信息工程","2002018"
"pjxrqxbj903","男","2020级","微电子学院","集成电路设计与集成系统","微电子学院","集成电路设计与集成系统","2014028"
"pjxrqxbj905","男","2021级","数学与统计学院","信息与计算科学","数学与统计学院","数学类","209701"
"pjxrqxbj908","女","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj909","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj911","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj914","女","2020级","通信工程学院","通信工程","通信工程学院","通信工程","2001018"
"pjxrqxbj916","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj918","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj919","女","2020级","数学与统计学院","统计学","数学与统计学院","统计学","2007031"
"pjxrqxbj928","男","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj930","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj937","女","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj939","女","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj942","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj943","女","2020级","计算机科学与技术学院","计算机科学与技术","计算机科学与技术学院","计算机科学与技术","2003019"
"pjxrqxbj944","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj945","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj947","男","2020级","通信工程学院","通信工程","通信工程学院","通信工程","2001017"
"pjxrqxbj951","男","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj952","男","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj954","男","2020级","空间科学与技术学院","空间科学与技术","空间科学与技术学院","空间科学与技术","2016029"
"pjxrqxbj955","女","2020级","计算机科学与技术学院","软件工程","计算机科学与技术学院","软件工程","2003058"
"pjxrqxbj957","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj958","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj961","女","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj962","男","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj963","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj969","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj971","男","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj972","男","2020级","数学与统计学院","统计学","数学与统计学院","统计学","2007031"
"pjxrqxbj973","男","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj978","男","2020级","数学与统计学院","信息与计算科学","数学与统计学院","信息与计算科学","2007021"
"pjxrqxbj981","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj983","男","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj988","女","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007011"
"pjxrqxbj990","女","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj992","女","2020级","数学与统计学院","数学与应用数学","数学与统计学院","数学与应用数学","2007019"
"pjxrqxbj994","女","2020级","数学与统计学院","统计学","数学与统计学院","统计学","2007031"
"pjxrqxbj996","男","2020级","空间科学与技术学院","空间科学与技术","空间科学与技术学院","空间科学与技术","2016029"
"pjxsqxbj751","女","2020级","经济与管理学院","市场营销","经济与管理学院","市场营销","2006061"
"pjxsqxbj752","女","2020级","经济与管理学院","金融学","经济与管理学院","金融学","2006041"
"pjxsqxbj758","男","2020级","经济与管理学院","工商管理（理工类）","经济与管理学院","工商管理（理工类）","2006021"
"pjxsqxbj760","女","2020级","经济与管理学院","人力资源管理","经济与管理学院","人力资源管理","2006071"
"pjxsqxbj764","男","2020级","经济与管理学院","信息管理与信息系统","经济与管理学院","信息管理与信息系统","2006011"
"pjxsqxbj765","男","2020级","经济与管理学院","电子商务","经济与管理学院","电子商务","2006051"
"pjxsqxbj768","女","2020级","经济与管理学院","工商管理（理工类）","经济与管理学院","工商管理（理工类）","2006021"
"pjxsqxbj771","女","2020级","经济与管理学院","工程管理","经济与管理学院","工程管理","2006111"
"pjxsqxbj772","男","2020级","经济与管理学院","工程管理","经济与管理学院","工程管理","2006111"
"pjxsqxbj774","男","2020级","经济与管理学院","工程管理","经济与管理学院","工程管理","2006111"
"pjxsqxbj777","女","2020级","经济与管理学院","工商管理（理工类）","经济与管理学院","工商管理（理工类）","2006021"
"pjxsqxbj778","女","2020级","经济与管理学院","工商管理（理工类）","经济与管理学院","工商管理（理工类）","2006021"
"pjxsqxbj779","女","2020级","经济与管理学院","信息管理与信息系统","经济与管理学院","信息管理与信息系统","2006011"
"pjxsqxbj780","女","2020级","经济与管理学院","市场营销","经济与管理学院","市场营销","2006061"
"pjxsqxbj784","女","2020级","经济与管理学院","电子商务","经济与管理学院","电子商务","2006051"
"pjxsqxbj786","女","2020级","经济与管理学院","人力资源管理","经济与管理学院","人力资源管理","2006071"
"pjxsqxbj787","男","2020级","经济与管理学院","工业工程","经济与管理学院","工业工程","2006031"
"pjxsqxbj788","女","2020级","经济与管理学院","人力资源管理","经济与管理学院","人力资源管理","2006071"
"pjxsqxbj789","男","2020级","经济与管理学院","电子商务","经济与管理学院","电子商务","2006051"
"pjxsqxbj790","男","2020级","经济与管理学院","电子商务","经济与管理学院","电子商务","2006051"
"pjxsqxbj792","女","2020级","经济与管理学院","金融学","经济与管理学院","金融学","2006041"
"pjxsqxbj796","女","2020级","经济与管理学院","工程管理","经济与管理学院","工程管理","2006111"
"pjxsqxbj800","女","2020级","经济与管理学院","金融学","经济与管理学院","金融学","2006041"
"pjxsqxbj801","女","2020级","经济与管理学院","工程管理","经济与管理学院","工程管理","2006111"
"pjxsqxbj807","女","2020级","经济与管理学院","金融学","经济与管理学院","金融学","2006041"
"pjxsqxbj808","男","2020级","经济与管理学院","市场营销","经济与管理学院","市场营销","2006061"
"pjxsqxbj809","男","2020级","经济与管理学院","工程管理","经济与管理学院","工程管理","2006111"
"pjxsqxbj810","女","2020级","经济与管理学院","工商管理（理工类）","经济与管理学院","工商管理（理工类）","2006021"
"pjxsqxbj811","女","2020级","经济与管理学院","市场营销","经济与管理学院","市场营销","2006061"
"pjxsqxbj812","男","2020级","经济与管理学院","人力资源管理","经济与管理学院","人力资源管理","2006071"
"pjxsqxbj815","男","2020级","经济与管理学院","大数据管理与应用","经济与管理学院","大数据管理与应用","2006121"
"pjxsqxbj816","男","2020级","经济与管理学院","大数据管理与应用","经济与管理学院","大数据管理与应用","2006121"
"pjxsqxbj820","男","2020级","经济与管理学院","电子商务","经济与管理学院","电子商务","2006051"
"pjxsqxbj821","男","2020级","经济与管理学院","工业工程","经济与管理学院","工业工程","2006031"
"pjxsqxbj823","男","2020级","经济与管理学院","工程管理","经济与管理学院","工程管理","2006111"
